SurveyYear,Province,HouseholdID,ProvinceCode,TaxiUseCode,BusUseCode,TrainUseCode,TaxiTrips,TaxiCostRaw,TaxiDistanceRaw,BusTrips,BusCostRaw,BusDistanceRaw,TrainTrips,TrainCostRaw,TrainDistanceRaw,NearestHealthFacilityCode,TransportToHealthFacilityCode,TimeToHealthFacilityRaw,GeoTypeCode,HouseholdWeight
2024,Western Cape,165100790040001201,1,1,2,2,2,34,0,888,8888,888,888,8888,888,2,1,2,1,1790.22208727
2024,Western Cape,165100790040001401,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,2,1,2266.60630321
2024,Western Cape,165100790040001601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,2,1,1831.52028468
2024,Western Cape,165101390000013901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,3,3,1728.72371727
2024,Western Cape,165101390000021801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,3,3,1440.95760995
2024,Western Cape,165101390000029701,1,1,2,2,2,100,1,888,8888,888,888,8888,888,6,2,3,3,1258.17746873
2024,Western Cape,165101390000037601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,2,3,1175.56685516
2024,Western Cape,165101390000045501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,3,1643.88083753
2024,Western Cape,165101390000053401,1,1,2,2,2,100,0,888,8888,888,888,8888,888,2,1,2,3,2081.32314676
2024,Western Cape,165101650000005201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,2,2,3,1994.59492776
2024,Western Cape,165101650000014101,1,1,2,2,2,120,0,888,8888,888,888,8888,888,2,2,2,3,2093.62334576
2024,Western Cape,165101790000005201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,2,2,3,848.859624734
2024,Western Cape,166100310000007801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,3,1210.1301404
2024,Western Cape,166100310000015201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,3,1003.02078712
2024,Western Cape,166100310000022601,1,1,2,2,2,40,1,888,8888,888,888,8888,888,2,2,2,3,2069.17760061
2024,Western Cape,166100310000026301,1,1,2,2,4,48,0,888,8888,888,888,8888,888,2,1,2,3,1449.4733781
2024,Western Cape,166100500000001201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,3,1,1194.24565077
2024,Western Cape,166100500000005001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,2,1,1055.7303748
2024,Western Cape,166100500000008801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,2,1,1194.24565077
2024,Western Cape,166100920000001801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,5,5,2,1,1166.8653153
2024,Western Cape,166100920000005701,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,5,5,1,1,1248.86444553
2024,Western Cape,166100920000009601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,2,1,1166.8653153
2024,Western Cape,166100920000017401,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,1669.35442614
2024,Western Cape,166101210000001501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,5,1,3,1265.61304319
2024,Western Cape,166101210000005401,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,3,853.876213496
2024,Western Cape,166101210000009301,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,2,1,3,853.876213496
2024,Western Cape,166101210000013201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,7,2,3,1449.4733781
2024,Western Cape,166101210000017101,1,1,2,2,2,40,0,888,8888,888,888,8888,888,2,7,2,3,691.392933403
2024,Western Cape,166101210000021001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,3,1632.16674099
2024,Western Cape,166101240000001501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,3430.08151227
2024,Western Cape,166101240000008001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,1814.90994634
2024,Western Cape,166101240000014501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,2039.76238021
2024,Western Cape,166101240000021001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,3430.08151227
2024,Western Cape,166101240000034001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,1410.08843367
2024,Western Cape,166101240000040501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,2039.76238021
2024,Western Cape,166101240000047001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,2312.75173793
2024,Western Cape,166101240000053501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,2312.75173793
2024,Western Cape,166101240000060001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,2312.75173793
2024,Western Cape,166101550000001701,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,1,5,1,1,1373.07998312
2024,Western Cape,166101550000003801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1198.90986771
2024,Western Cape,166101550000005901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,1,1,1,1,1373.07998312
2024,Western Cape,166101550000005902,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,1,1,1,1,654.953593263
2024,Western Cape,166101550000008001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,654.953593263
2024,Western Cape,166101590000000701,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,1,1,1,1178.8717492
2024,Western Cape,166101590000007301,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1178.8717492
2024,Western Cape,166101590000010601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1039.72173306
2024,Western Cape,166101590000013901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1232.92149516
2024,Western Cape,166101590000017201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1039.72173306
2024,Western Cape,166101610000000501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,1,7,1,1,977.112155397
2024,Western Cape,166101610000003201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,673.533837043
2024,Western Cape,166101610000008601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,5,1,1,673.533837043
2024,Western Cape,166101610000011301,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1412.03260675
2024,Western Cape,166101610000014001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1178.8717492
2024,Western Cape,166101820000003601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,1,5,2,1,674.061096101
2024,Western Cape,166101820000008801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,791.797781097
2024,Western Cape,166101820000014001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,1144.23331926
2024,Western Cape,166101820000019201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,1,5,2,1,674.061096101
2024,Western Cape,166101820000024401,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,545.794661052
2024,Western Cape,166101910000000901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,1,1,1,866.649980701
2024,Western Cape,166101910000007901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,1018.02571855
2024,Western Cape,166101910000011401,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,1018.02571855
2024,Western Cape,166101910000021901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,1471.15712477
2024,Western Cape,166101910000021902,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,1656.58353309
