household_id,person_weight,log_salary,any_home_internet,digital_access_score,education_band,matric_plus,age_centred,age_centred_squared,female,population_group,province,settlement_type
166101590000013901,1229.31005951,9.903487552536127,1,4,Matric,1,-9,81,0,Coloured,Western Cape,Non-metro urban
166101590000013901,1229.31005951,10.16585181700362,1,4,Matric,1,-9,81,1,Coloured,Western Cape,Non-metro urban
166101590000017201,1235.97685167,10.308952660644293,1,4,Matric,1,13,169,0,White,Western Cape,Non-metro urban
166101590000017201,1235.97685167,9.903487552536127,1,4,Matric,1,13,169,1,White,Western Cape,Non-metro urban
166101610000000501,1273.12019105,8.847647355711887,1,3,Matric,1,-3,9,1,Coloured,Western Cape,Non-metro urban
166101610000011301,1387.95588563,10.46310334047155,1,4,Degree,1,-5,25,0,Coloured,Western Cape,Non-metro urban
166101610000011301,1387.95588563,10.308952660644293,1,4,Post-school certificate/diploma,1,-7,49,1,Coloured,Western Cape,Non-metro urban
166101610000014001,941.152955893,9.903487552536127,1,4,Post-school certificate/diploma,1,-5,25,0,White,Western Cape,Non-metro urban
166101610000014001,941.152955893,10.085809109330082,1,4,Degree,1,-2,4,1,White,Western Cape,Non-metro urban
166101820000008801,1015.84650818,10.126631103850338,1,4,Matric,1,13,169,0,Coloured,Western Cape,Non-metro urban
166101820000008801,1015.84650818,10.308952660644293,1,4,Degree,1,12,144,1,Coloured,Western Cape,Non-metro urban
166101820000008801,1015.84650818,9.798127036878302,1,4,Post-school certificate/diploma,1,-14,196,0,Coloured,Western Cape,Non-metro urban
166101820000019201,1087.69441869,8.764053269347762,1,3,Matric,1,1,1,0,Coloured,Western Cape,Non-metro urban
166101820000019201,1087.69441869,9.798127036878302,1,3,Matric,1,-1,1,1,Coloured,Western Cape,Non-metro urban
166101910000007901,1702.08827263,8.847647355711887,1,4,Matric,1,13,169,0,Coloured,Western Cape,Non-metro urban
166101910000007901,1702.08827263,8.27614021955846,1,4,Some secondary,0,14,196,1,Coloured,Western Cape,Non-metro urban
166101910000007901,1702.08827263,10.308952660644293,1,4,Matric,1,10,100,1,Coloured,Western Cape,Non-metro urban
