household_id,person_weight,employed,age_centred,age_centred_squared,female,population_group,province,settlement_type,education_band,matric_plus,has_fixed_internet,has_mobile_internet,has_computer,any_home_internet,digital_access_score,smartphone_access,edu_digital_group,household_size,n_children_under15,elderly_in_household,dependency_ratio,female_x_children,other_member_matric
163100220000017301,1345.04380056,Employed,-16,256,1,Coloured,Western Cape,Non-metro urban,Matric,1,0,1,0,1,2,Fewer than 1 per member,"Matric+, internet",7,2,0,0.4,2,No
163100220000017301,1345.04380056,Employed,-20,400,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",7,2,0,0.4,0,Yes
163100220000020001,623.147883134,Employed,17,289,0,Coloured,Western Cape,Non-metro urban,Primary (Grade R-7),0,0,0,0,0,0,None,,1,0,0,0,0,No other working-age member
163100940000001701,1067.62365739,Employed,-9,81,0,Coloured,Western Cape,Non-metro urban,Matric,1,1,0,0,1,2,Fewer than 1 per member,"Matric+, internet",3,1,0,0.5,0,No
163100940000001701,1067.62365739,Employed,-9,81,1,Coloured,Western Cape,Non-metro urban,Some secondary,0,1,0,0,1,2,Fewer than 1 per member,"Below matric, internet",3,1,0,0.5,1,Yes
163100940000003401,1103.31376233,Unemployed,-2,4,1,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",5,2,0,0.6666666666666666,2,No
163100940000003401,1103.31376233,Employed,-9,81,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",5,2,0,0.6666666666666666,0,No
163100940000003401,1103.31376233,Employed,-8,64,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",5,2,0,0.6666666666666666,0,No
163100940000006801,1164.25248258,Employed,-15,225,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,1 or more per member,"Below matric, internet",5,0,1,0.25,0,Yes
163100940000010201,1172.58930704,Employed,8,64,1,Coloured,Western Cape,Non-metro urban,Matric,1,1,1,0,1,3,1 or more per member,"Matric+, internet",3,0,0,0,0,Yes
163100940000010201,1172.58930704,Employed,-12,144,0,Coloured,Western Cape,Non-metro urban,Matric,1,1,1,0,1,3,1 or more per member,"Matric+, internet",3,0,0,0,0,Yes
163100940000010201,1172.58930704,Employed,-14,196,0,Coloured,Western Cape,Non-metro urban,Matric,1,1,1,0,1,3,1 or more per member,"Matric+, internet",3,0,0,0,0,Yes
163100940000011901,985.977630849,Employed,3,9,0,Coloured,Western Cape,Non-metro urban,Matric,1,1,1,0,1,3,1 or more per member,"Matric+, internet",2,0,0,0,0,Yes
163100940000011901,985.977630849,Employed,-1,1,1,Coloured,Western Cape,Non-metro urban,Matric,1,1,1,0,1,3,1 or more per member,"Matric+, internet",2,0,0,0,0,Yes
